index,country,image,player,rating
13438,Afghanistan,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.78025371124
7298,Afghanistan,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.76570593435
2834,Afghanistan,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.76391925947
7112,Afghanistan,http://a.espncdn.com/photo/2017/0525/055_WILSON_600.jpg,Russell Wilson,2.74918278426
4508,Afghanistan,http://a.espncdn.com/photo/2017/0516/099_01_SCOTT_600.jpg,Adam Scott,2.73783610295
13429,Albania,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.70764717238
1523,Albania,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.61660327803
11011,Albania,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.60238368735
10079,Albania,http://a.espncdn.com/photo/2017/0510/019_01_SERENA_600X388.jpg,Serena Williams,2.57967649636
2081,Albania,http://a.espncdn.com/photo/2017/0523/039_02b_silva_600x388.jpg,Anderson Silva,2.55747554838
11086,Algerie,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.92811290442
13504,Algerie,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.92010278601
9038,Algerie,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.89686920681
482,Algerie,http://a.espncdn.com/photo/2017/0516/096_01_RAINA_600.jpg,Suresh Raina,2.88712200476
8666,Algerie,http://a.espncdn.com/photo/2017/0510/024_01_WADE_600X388.jpg,Dwyane Wade,2.88618769908
13481,Angola,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.0308561738
1575,Angola,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.9698092723
6225,Angola,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.91189745796
2505,Angola,http://a.espncdn.com/photo/2017/0515/069_01_EARNHARDTJR_600.jpg,Dale Earnhardt Jr.,2.87179157381
9015,Angola,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.87052826879
7584,Antigua and Barbuda,http://a.espncdn.com/photo/2017/0510/025_01_MCGREGOR_600X388.jpg,Conor McGregor,3.75
13538,Antigua and Barbuda,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.09773093826
4608,Antigua and Barbuda,http://a.espncdn.com/photo/2017/0516/099_01_SCOTT_600.jpg,Adam Scott,3.01161933313
9072,Antigua and Barbuda,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.9740752748
1632,Antigua and Barbuda,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.96156910475
12474,Argentina,http://a.espncdn.com/photo/2017/0510/035_01_WESTBROOK_600X388.jpg,Russell Westbrook,4.625
1498,Argentina,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.93106510922
6148,Argentina,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.90594604462
8566,Argentina,http://a.espncdn.com/photo/2017/0510/024_01_WADE_600X388.jpg,Dwyane Wade,2.84311514283
13404,Argentina,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.83792615098
13459,Armenia,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.85647276109
7133,Armenia,http://a.espncdn.com/photo/2017/0525/055_WILSON_600.jpg,Russell Wilson,2.74500004505
9551,Armenia,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.74400049964
5831,Armenia,http://a.espncdn.com/photo/2017/0510/042_01_WAWRINKA_600X388.jpg,Stan Wawrinka,2.73729052299
6017,Armenia,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.72282139968
4761,Australia,http://a.espncdn.com/photo/2017/0515/051_01_PAUL_600.jpg,Chris Paul,4.16666666667
2715,Australia,http://a.espncdn.com/photo/2017/0510/001_01_RONALDO_600X388.jpg,Cristiano Ronaldo,3.75
3645,Australia,http://a.espncdn.com/photo/2017/0515/076_01_SILVA_600.jpg,Thiago Silva,3.75
12575,Australia,http://a.espncdn.com/photo/2017/0510/035_01_WESTBROOK_600X388.jpg,Russell Westbrook,3.67708333333
13877,Australia,http://a.espncdn.com/photo/2017/0510/040_01_POGBA_600X388.jpg,Paul Pogba,3.63020833333
6602,Austria,http://a.espncdn.com/photo/2017/0510/009_01_NADAL_600X388.jpg,Rafael Nadal,3.0
13486,Austria,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.93851277677
7160,Austria,http://a.espncdn.com/photo/2017/0525/055_WILSON_600.jpg,Russell Wilson,2.85699715669
2324,Austria,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.85425598309
11068,Austria,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.84229792139
13496,Bahamas,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.03734100646
13310,Bahamas,http://a.espncdn.com/photo/2017/0510/010_01_TIGER_600X388.jpg,Tiger Woods,3.0
1590,Bahamas,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.97030093894
6054,Bahamas,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.93581543131
11078,Bahamas,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.92752697442
5965,Bahrain,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.9369047619
571,Bahrain,http://a.espncdn.com/photo/2017/0515/085_01_HAMILTON_600.jpg,Lewis Hamilton,2.875
10057,Bahrain,http://a.espncdn.com/photo/2017/0510/019_01_SERENA_600X388.jpg,Serena Williams,2.87128173035
1501,Bahrain,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.86997842981
13407,Bahrain,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.83518764185
7299,Bangladesh,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.96770070888
13439,Bangladesh,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.96435763368
5997,Bangladesh,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.9337401494
2277,Bangladesh,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.92140058198
2835,Bangladesh,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.91354636896
9820,Barbados,http://a.espncdn.com/photo/2017/0525/021_02_brady_600X388.jpg,Tom Brady,4.25
13542,Barbados,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.14606278872
1636,Barbados,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.02221838725
9076,Barbados,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,3.00027335573
2938,Barbados,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.98249916515
7409,Belgica,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.95745840119
13549,Belgica,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.92029071769
1643,Belgica,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.91233413904
2387,Belgica,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.8472122207
9083,Belgica,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.8395703308
13895,Belgie,http://a.espncdn.com/photo/2017/0510/040_01_POGBA_600X388.jpg,Paul Pogba,3.69444444444
9615,Belgie,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.98702129405
5895,Belgie,http://a.espncdn.com/photo/2017/0510/042_01_WAWRINKA_600X388.jpg,Stan Wawrinka,2.9790489353
9057,Belgie,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.96716982439
7383,Belgie,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.95613041133
6065,Belgique,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,3.5
5693,Belgique,http://a.espncdn.com/photo/2017/0510/032_01_MURRAY_600X388.jpg,Andy Murray,3.375
13507,Belgique,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.13218289444
11089,Belgique,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,3.06123761481
1601,Belgique,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.03202139909
6067,Belgium,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,3.75
7369,Belgium,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,3.5
13509,Belgium,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.12533274371
2905,Belgium,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,3.08288003774
2533,Belgium,http://a.espncdn.com/photo/2017/0515/069_01_EARNHARDTJR_600.jpg,Dale Earnhardt Jr.,3.06913702928
6003,Bermuda,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,3.0
13445,Bermuda,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.94533606004
1539,Bermuda,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.92927603224
7305,Bermuda,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.8437453208
11027,Bermuda,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.84236012319
1509,"Bonaire, Sint Eustatius and Saba",http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.98615926153
13415,"Bonaire, Sint Eustatius and Saba",http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.91254764079
7275,"Bonaire, Sint Eustatius and Saba",http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.90205573355
6159,"Bonaire, Sint Eustatius and Saba",http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.88357983555
2253,"Bonaire, Sint Eustatius and Saba",http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.84974733857
6002,Bosna i Hercegovina,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.94978178385
11026,Bosna i Hercegovina,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.91584362478
5072,Bosna i Hercegovina,http://a.espncdn.com/photo/2017/0516/092_02_MASSAH_600.jpg,Felipe Massa,2.9080006069
2840,Bosna i Hercegovina,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.89684615992
2282,Bosna i Hercegovina,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.8918361508
1506,Bosnia and Herzegovina,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.0389675655
1134,Bosnia and Herzegovina,http://a.espncdn.com/photo/2017/0511/047_01_NEWTON_600X388.jpg,Cam Newton,3.0
12482,Bosnia and Herzegovina,http://a.espncdn.com/photo/2017/0510/035_01_WESTBROOK_600X388.jpg,Russell Westbrook,2.95579562333
6156,Bosnia and Herzegovina,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.92364086214
8574,Bosnia and Herzegovina,http://a.espncdn.com/photo/2017/0510/024_01_WADE_600X388.jpg,Dwyane Wade,2.91980212263
4829,Botswana,http://a.espncdn.com/photo/2017/0515/051_01_PAUL_600.jpg,Chris Paul,3.125
13573,Botswana,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.83975869238
11155,Botswana,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.80303936759
10223,Botswana,http://a.espncdn.com/photo/2017/0510/019_01_SERENA_600X388.jpg,Serena Williams,2.78731171252
4643,Botswana,http://a.espncdn.com/photo/2017/0516/099_01_SCOTT_600.jpg,Adam Scott,2.77442450425
4215,Brasil,http://a.espncdn.com/photo/2017/0525/013_02_kohli_600X388.jpg,Virat Kohli,3.375
4959,Brasil,http://a.espncdn.com/photo/2017/0525/003_03_messi_600X388.jpg,Lionel Messi,3.33333333333
7377,Brasil,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,3.33333333333
1239,Brasil,http://a.espncdn.com/photo/2017/0511/047_01_NEWTON_600X388.jpg,Cam Newton,3.0
13517,Brasil,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.9374457432
8403,Brazil,http://a.espncdn.com/photo/2017/0523/052_04_BREES_600.jpg,Drew Brees,4.5
13427,Brazil,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.90970205798
9519,Brazil,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.87080253596
8961,Brazil,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.86009536417
1521,Brazil,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.85750257419
13475,British Virgin Islands,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.89572031548
2499,British Virgin Islands,http://a.espncdn.com/photo/2017/0515/069_01_EARNHARDTJR_600.jpg,Dale Earnhardt Jr.,2.86665686805
4545,British Virgin Islands,http://a.espncdn.com/photo/2017/0516/099_01_SCOTT_600.jpg,Adam Scott,2.82629895501
9567,British Virgin Islands,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.82111906132
3429,British Virgin Islands,http://a.espncdn.com/photo/2017/0510/023_01_SHARAPOVA_600X388.jpg,Maria Sharapova,2.806287511
1597,Brunei,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.97360461974
13503,Brunei,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.92747585668
12573,Brunei,http://a.espncdn.com/photo/2017/0510/035_01_WESTBROOK_600X388.jpg,Russell Westbrook,2.89608992904
6247,Brunei,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.8538756417
9037,Brunei,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.83505639735
6035,Bulgaria,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,3.34375
13477,Bulgaria,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.09228512663
1571,Bulgaria,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.08671861584
5849,Bulgaria,http://a.espncdn.com/photo/2017/0510/042_01_WAWRINKA_600X388.jpg,Stan Wawrinka,2.96118936079
14221,Bulgaria,http://a.espncdn.com/photo/2017/0522/BALE_600x388.jpg,Gareth Bale,2.94219805852
13400,Cambodia,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,3.01596523543
5958,Cambodia,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.92314081662
2238,Cambodia,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.92090431328
10982,Cambodia,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.89001136374
11354,Cambodia,http://a.espncdn.com/photo/2017/0510/033_01_ROSE_600X388.jpg,Derrick Rose,2.85595574724
7451,Cameroon,http://a.espncdn.com/photo/2017/0510/025_01_MCGREGOR_600X388.jpg,Conor McGregor,3.66666666667
10987,Cameroon,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,3.05716978119
7265,Cameroon,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,3.04268877438
8939,Cameroon,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,3.02076525738
5033,Cameroon,http://a.espncdn.com/photo/2017/0516/092_02_MASSAH_600.jpg,Felipe Massa,3.01901458696
9859,Canada,http://a.espncdn.com/photo/2017/0510/034_01_IRVING_600X388.jpg,Kyrie Irving,4.375
9115,Canada,http://a.espncdn.com/photo/2017/0515/079_01_WALCOTT_600.jpg,Theo Walcott,3.75
9301,Canada,http://a.espncdn.com/photo/2017/0510/041_01_ANTHONY_600X388.jpg,Carmelo Anthony,3.75
931,Canada,http://a.espncdn.com/photo/2017/0516/100_01_SALLAH_600.jpg,Mohamed Salah,3.64583333333
1489,Canada,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,3.6
13482,Cayman Islands,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.97315293749
6040,Cayman Islands,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.96346004374
11064,Cayman Islands,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.94595793556
1576,Cayman Islands,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.91892531113
5110,Cayman Islands,http://a.espncdn.com/photo/2017/0516/092_02_MASSAH_600.jpg,Felipe Massa,2.90098343908
2309,Central African Republic,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,4.5
6215,Central African Republic,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,3.11195427086
3425,Central African Republic,http://a.espncdn.com/photo/2017/0510/023_01_SHARAPOVA_600X388.jpg,Maria Sharapova,3.09900070631
7331,Central African Republic,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,3.09483261863
1937,Central African Republic,http://a.espncdn.com/photo/2017/0523/087_02_WOZNIACKI_600.jpg,Caroline Wozniacki,3.08575992464
7368,Chile,http://a.espncdn.com/photo/2017/0510/004_01_FEDERER_600X388.jpg,Roger Federer,2.92447420067
13508,Chile,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.90698129247
3462,Chile,http://a.espncdn.com/photo/2017/0510/023_01_SHARAPOVA_600X388.jpg,Maria Sharapova,2.89558681209
2904,Chile,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.88991079442
6252,Chile,http://a.espncdn.com/photo/2017/0523/068_05_LOCHTE_600_NEW.jpg,Ryan Lochte,2.8737811524
703,Colombia,http://a.espncdn.com/photo/2017/0515/085_01_HAMILTON_600.jpg,Lewis Hamilton,2.75
13539,Colombia,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.74121526601
11121,Colombia,http://a.espncdn.com/photo/2017/0511/045_01_BENZEMA_600X388.jpg,Karim Benzema,2.72371561875
2377,Colombia,http://a.espncdn.com/photo/2017/0511/048_01_BILES_600X388.jpg,Simone Biles,2.72247627184
1633,Colombia,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.71057493063
13575,Congo,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.95974667024
6133,Congo,http://a.espncdn.com/photo/2017/0510/031_01_ROONEY_600X388.jpg,Wayne Rooney,2.87557285511
7249,Congo,http://a.espncdn.com/photo/2017/0525/055_WILSON_600.jpg,Russell Wilson,2.86188584271
2971,Congo,http://a.espncdn.com/photo/2017/0516/097_01_NEUER_600.jpg,Manuel Neuer,2.85768824304
9667,Congo,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.85361100832
13494,Costa Rica,http://a.espncdn.com/photo/2017/0523/090_03_SINGH_600.jpg,Yuvraj Singh,2.98413933966
1588,Costa Rica,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.92270110745
9028,Costa Rica,http://a.espncdn.com/photo/2017/0515/064_01_BECKHAM_600.jpg,Odell Beckham Jr.,2.91581698281
5866,Costa Rica,http://a.espncdn.com/photo/2017/0510/042_01_WAWRINKA_600X388.jpg,Stan Wawrinka,2.88007716325
9586,Costa Rica,http://a.espncdn.com/photo/2017/0515/086_01_JOHNSON_600.png,Jimmie Johnson,2.86146284813
1635,Cyprus,http://a.espncdn.com/photo/2017/0510/002_01_LEBRON_600X388.jpg,LeBron James,2.83475635648
10191,Cyprus,http://a.espncdn.com/photo/2017/0510/019_01_SERENA_600X388.jpg,Serena Williams,2.76426447048
